recipeName,batchYield,unit,ingredientName,qty,ingredientUnit,gramsMl,uom,vendor
Burger patty 1050g yield,9.0,PCS,Organic Coriander Powder-100Gms,2.0,GM,2.0,GRM,FACTORY
Burger patty 1050g yield,9.0,PCS,Organic Garam Masala-100Gms,2.0,GM,2.0,GRM,FACTORY
CEASAR dressing 358g yield,358.0,GRM,VEEBA EGGLESS MAYO PROFESSIONAL MAYONNAISE 1KG,150.0,GM,150.0,GRM,SAI FOODS
CEASAR dressing 358g yield,358.0,GRM,GARLIC,30.0,GM,30.0,GRM,AD VEGETABLES
CEASAR dressing 358g yield,358.0,GRM,DILL LEAF,10.0,GM,10.0,GRM,AD VEGETABLES
CEASAR dressing 358g yield,358.0,GRM,Organic Sugar-1kg,12.0,GM,12.0,GRM,FACTORY
CEASAR dressing 358g yield,358.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,12.0,GM,12.0,GRM,FACTORY
CEASAR dressing 358g yield,358.0,GRM,whole farm WHITE SESAME,8.0,GM,8.0,GRM,SAI FOODS
CEASAR dressing 358g yield,358.0,GRM,cheese grana padano parmesan veg,40.0,GM,40.0,GRM,SAI FOODS
CEASAR dressing 358g yield,358.0,GRM,Organic Black Pepper Whole-100Gms,40.0,GM,40.0,GRM,FACTORY
CEASAR dressing 358g yield,358.0,GRM,WATER,60.0,GM,60.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,Organic Moong Dal-1Kg,1.0,GM,20.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,SPINACH,150.0,GM,10.0,GRM,AD VEGETABLES
CHILLA BATTER 570g,570.0,GRM,GINGER,10.0,GM,3.0,GRM,AD VEGETABLES
CHILLA BATTER 570g,570.0,GRM,GREEN CHILLI,2.0,GM,2.0,GRM,AD VEGETABLES
CHILLA BATTER 570g,570.0,GRM,Natural Himalaya Pink Salt-500Gms Pouch,1.0,-,1.0,GRM,FACTORY
CHILLA BATTER 570g,570.0,GRM,Organic Cumin Whole-100Gms,0.25,tsp,0.5,GRM,FACTORY
